scenario,policy,run,total_cost,stockouts,service_level,collapse_events,avg_backorders,avg_inventory,time_to_first_collapse
leadtime_shock_50,traditional,136,8257429749.480606,16381.0,0.3305213012598317,16361.0,33379.78824258045,26.26656891930525,2.0
leadtime_shock_50,traditional,137,8273104327.566299,16383.0,0.3297596557565047,16367.0,33451.85231307066,24.776723095176933,1.0
leadtime_shock_50,traditional,138,8272833093.35381,16384.0,0.32942918298030094,16367.0,33486.65159339934,26.407798764412586,1.0
leadtime_shock_50,traditional,139,8261321142.786696,16383.0,0.3307585800419677,16363.0,33412.92548675056,25.157542643777454,1.0
leadtime_shock_50,traditional,140,8270524936.124791,16382.0,0.3313397454630325,16363.0,33417.469255590746,25.71185716710454,1.0
leadtime_shock_50,traditional,141,8264259873.847145,16385.0,0.32977398484299203,16368.0,33440.96722759674,25.597848009520177,1.0
leadtime_shock_50,traditional,142,8292461547.193237,16383.0,0.3290119493204477,16358.0,33493.92828776661,27.5307973110665,1.0
leadtime_shock_50,traditional,143,8237928933.448274,16383.0,0.3309557534572624,16363.0,33335.34019768042,25.842167675900065,1.0
leadtime_shock_50,traditional,144,8298551407.836069,16387.0,0.32805593993869,16362.0,33538.37066060425,26.298461187581392,1.0
leadtime_shock_50,traditional,145,8289325556.130122,16388.0,0.32986597521673966,16364.0,33505.62935579988,26.89411850744693,1.0
leadtime_shock_50,traditional,146,8262447060.840687,16384.0,0.33039179972203947,16362.0,33391.68485430967,25.316590957835107,1.0
leadtime_shock_50,traditional,147,8263740520.035086,16382.0,0.3296081860798529,16363.0,33428.15246145506,25.074079233602365,2.0
leadtime_shock_50,traditional,148,8271017582.163351,16381.0,0.3304803138560441,16360.0,33440.40231436747,26.355711700665744,2.0
leadtime_shock_50,traditional,149,8256805339.323185,16385.0,0.33090111915026876,16366.0,33365.522681199895,26.070392605465234,1.0
leadtime_shock_50,traditional,150,8262464867.272291,16389.0,0.3311909987535861,16367.0,33367.95582696738,25.99635929177842,1.0
leadtime_shock_50,traditional,151,8296653743.432449,16388.0,0.32975780660913323,16367.0,33511.36693003112,25.891126103593223,1.0
leadtime_shock_50,traditional,152,8264277352.706659,16388.0,0.33032892956938326,16361.0,33422.7327105664,25.24659030346907,1.0
leadtime_shock_50,traditional,153,8273317060.208369,16381.0,0.32983091042905593,16361.0,33419.35401541501,24.99320797835396,1.0
leadtime_shock_50,traditional,154,8250076686.920216,16386.0,0.3315557485610667,16363.0,33372.45599184058,26.052067012948815,1.0
leadtime_shock_50,traditional,155,8267927624.752778,16384.0,0.33042137247252884,16363.0,33425.81991192499,25.955098029251634,1.0
leadtime_shock_50,traditional,156,8251578112.940309,16383.0,0.3304939484549692,16366.0,33408.68856648527,25.994106926778752,1.0
leadtime_shock_50,traditional,157,8279913461.654836,16386.0,0.3287192841009412,16364.0,33512.496030877446,25.98865432137747,1.0
leadtime_shock_50,traditional,158,8247123595.090603,16389.0,0.3302616156665504,16361.0,33372.92773301671,26.572905762418507,1.0
leadtime_shock_50,traditional,159,8295486581.393069,16384.0,0.32866018469501973,16365.0,33520.85321949985,26.111490515230518,1.0
leadtime_shock_50,traditional,160,8267715853.386523,16383.0,0.33015792104301284,16363.0,33415.69397449289,25.82677000312322,1.0
leadtime_shock_50,traditional,161,8259612282.425193,16383.0,0.32921560896498886,16364.0,33405.76677643778,26.00523378431023,1.0
leadtime_shock_50,traditional,162,8312303112.713754,16383.0,0.327419148623276,16362.0,33569.964804338706,26.196237868217995,1.0
leadtime_shock_50,traditional,163,8295748648.680283,16384.0,0.32887032774092506,16361.0,33546.720013854996,26.297114723876504,2.0
leadtime_shock_50,traditional,164,8271988819.447702,16385.0,0.3298312570632876,16365.0,33399.43023254264,25.44519527884853,1.0
leadtime_shock_50,traditional,165,8297808866.181974,16386.0,0.32865287354710165,16364.0,33552.76957588312,25.619913752581738,1.0
leadtime_shock_50,traditional,166,8252452618.807399,16386.0,0.33091285983174806,16365.0,33377.53626039938,25.516154932759115,1.0
leadtime_shock_50,traditional,167,8262885069.312956,16384.0,0.3303324325544236,16361.0,33430.05714563064,26.432673421132417,1.0
leadtime_shock_50,traditional,168,8258863705.268701,16382.0,0.3310904116167425,16361.0,33362.509625611514,25.52464195637631,1.0
leadtime_shock_50,traditional,169,8279214329.491866,16385.0,0.33031075676226324,16364.0,33476.36643483938,25.971409282739288,1.0
